Name,Twitter_name,Team
Kevin Seraphin,@kevin_seraphin,Washington Wizards
Chris Singleton,@C_Sing31,Washington Wizards
Jan Vesely,@JanVesely24,Washington Wizards
John Wall,@John_Wall,Washington Wizards
Martell Webster,@MartellWebster,Washington Wizards
Samuel Dalembert,@SamDalembert,Dallas Mavericks
Gal Mekel,@GalMekel33,Dallas Mavericks
Vince Carter,@mrvincecarter15,Dallas Mavericks
Devin Harris,@Dev34Harris,Dallas Mavericks
Jae Crowder,@CJC9BOSS,Dallas Mavericks
Wayne Ellington,@WayneElli22,Dallas Mavericks
Bernard James,@iBall_,Dallas Mavericks
Fab Melo,@Fabpmelo,Dallas Mavericks
DeJuan Blair,@DeJuan45,Dallas Mavericks
Ricky Ledo,@REALRICKLEDO1,Dallas Mavericks
Shawn Marion,@matrix31,Dallas Mavericks
Shane Larkin,@ShaneLarkin_3,Dallas Mavericks
Monte Mathis,@MonteMathis,Dallas Mavericks
Dirk Nowitzki,@swish41,Dallas Mavericks
Brandan Wright,@bwright34,Dallas Mavericks
Ronnie Brewer,@RonnieBrewerJr,Houston Rockets
Omer Asik,@OmerAsik,Houston Rockets
Robert Covington,@Holla_At_Rob33,Houston Rockets
Carlos Delfino,@cabezadelfino,Houston Rockets
Omri Casspi,@Casspi18,Houston Rockets
James Harden,@JHarden13,Houston Rockets
Terrence Jones,@TerrenceJones1,Houston Rockets
Jeremy Lin,@JLin7,Houston Rockets
Gregory Smith,@Ju_Smith4,Houston Rockets
Isaiah Canaan,@SiP03,Houston Rockets
Donatas Motiejunas,@DonatasMot,Houston Rockets
Chandler Parsons,@ChandlerParsons,Houston Rockets
Patrick Beverley,@patbev21,Houston Rockets
Aaron Brooks,@Thirty2zero,Houston Rockets
Tony Allen,@aa000G9,Memphis Grizzlies
Darrell Arthur,None,Memphis Grizzlies
Jerryd Bayless,@jerrydbayless,Memphis Grizzlies
Mike Conley,@mconley11,Memphis Grizzlies
Marc Gasol,@MarcGasol,Memphis Grizzlies
Quincy Pondexter,@quincypondexter,Memphis Grizzlies
Zach Randolph,@MacBo50,Memphis Grizzlies
Al-Farouq Aminu,@farouq1,New Orleans Pelicans
Ryan Anderson,@ryananderson33,New Orleans Pelicans
Anthony Davis,@AntDavis23,New Orleans Pelicans
Eric Gordon,@TheOfficialEG10,New Orleans Pelicans
Alexis Ajinça,@AjincaAlexis42,New Orleans Pelicans
Greg Stiemsma,@gregstiemsma,New Orleans Pelicans
Darius Miller,@uknum1,New Orleans Pelicans
Austin Rivers,@AustinRivers25,New Orleans Pelicans
Jrue Holiday,@Jrue_Holiday11,New Orleans Pelicans
Jason Smith,@JasonSmith014,New Orleans Pelicans
Tyreke Evans,@TyrekeEvans,New Orleans Pelicans
Anthony Morrow,@MrAnthonyMorrow,New Orleans Pelicans
Jeff Withey,@JeffWithey,New Orleans Pelicans
Pierre Jackson,@PierreJackson55,New Orleans Pelicans
Nando De Colo,@NandoDeColo,San Antonio Spurs
Boris Diaw,@theborisdiaw,San Antonio Spurs
Manu Ginobili,@manuginobili,San Antonio Spurs
Danny Green,@dgreen_14,San Antonio Spurs
Cory Joseph,@Cory_Joe,San Antonio Spurs
Kawhi Leonard,@TheBig_Island,San Antonio Spurs
Patty Mills,@Patty_Mills,San Antonio Spurs
Tony Parker,@tp9network,San Antonio Spurs
Tiago Splitter,@tiagosplitter,San Antonio Spurs
Corey Brewer,@CoreyBrewer13,Denver Nuggets
Wilson Chandler,@wilsonchandler,Denver Nuggets
Kenneth Faried,@KennethFaried35,Denver Nuggets
Evan Fournier,@EvanFourmizz,Denver Nuggets
Danilo Gallinari,@gallinari8888,Denver Nuggets
Jordan Hamilton,@J_Goin_Ham,Denver Nuggets
Randy Foye,@MindofAI9,Denver Nuggets
Ty Lawson,@tylawson3,Denver Nuggets
