Name,Team,Twitter_name,Wiki,Division,Conference
Seth Curry,Dallas Mavericks,@sdotcurry,/wiki/Seth_Curry,Southwest Division,WESTERN CONFERENCE
Yogi Ferrell,Dallas Mavericks,@YogiFerrell11,/wiki/Yogi_Ferrell,Southwest Division,WESTERN CONFERENCE
Dorian Finney-Smith,Dallas Mavericks,@doefinney_10,/wiki/Dorian_Finney-Smith,Southwest Division,WESTERN CONFERENCE
Devin Harris,Dallas Mavericks,@Dev34Harris,/wiki/Devin_Harris,Southwest Division,WESTERN CONFERENCE
Maxi Kleber,Dallas Mavericks,@MaxiKleber,/wiki/Maxi_Kleber,Southwest Division,WESTERN CONFERENCE
Wesley Matthews,Dallas Mavericks,@WessyWes23,/wiki/Wesley_Matthews,Southwest Division,WESTERN CONFERENCE
Josh McRoberts,Dallas Mavericks,@JoshMcRoberts11,/wiki/Josh_McRoberts,Southwest Division,WESTERN CONFERENCE
Salah Mejri,Dallas Mavericks,@50mejri,/wiki/Salah_Mejri,Southwest Division,WESTERN CONFERENCE
Johnathan Motley,Dallas Mavericks,@Moneymot5,/wiki/Johnathan_Motley,Southwest Division,WESTERN CONFERENCE
Nerlens Noel,Dallas Mavericks,@NerlensNoel3,/wiki/Nerlens_Noel,Southwest Division,WESTERN CONFERENCE
Dirk Nowitzki,Dallas Mavericks,@swish41,/wiki/Dirk_Nowitzki,Southwest Division,WESTERN CONFERENCE
Dwight Powell,Dallas Mavericks,@DwightPowell33,/wiki/Dwight_Powell,Southwest Division,WESTERN CONFERENCE
Dennis Smith Jr.,Dallas Mavericks,@Dennis1SmithJr,/wiki/Dennis_Smith_Jr.,Southwest Division,WESTERN CONFERENCE
Trevor Ariza,Houston Rockets,@TrevorAriza,/wiki/Trevor_Ariza,Southwest Division,WESTERN CONFERENCE
Tarik Black,Houston Rockets,@TarikBlack25,/wiki/Tarik_Black,Southwest Division,WESTERN CONFERENCE
Clint Capela,Houston Rockets,@CapelaClint,/wiki/Clint_Capela,Southwest Division,WESTERN CONFERENCE
Eric Gordon,Houston Rockets,@TheOfficialEG10,/wiki/Eric_Gordon,Southwest Division,WESTERN CONFERENCE
James Harden,Houston Rockets,@JHarden13,/wiki/James_Harden,Southwest Division,WESTERN CONFERENCE
Demetrius Jackson,Houston Rockets,@D_Jay11,/wiki/Demetrius_Jackson,Southwest Division,WESTERN CONFERENCE
Luc Mbah a Moute,Houston Rockets,@mbahamoute,/wiki/Luc_Mbah_a_Moute,Southwest Division,WESTERN CONFERENCE
Chinanu Onuaku,Houston Rockets,@lifeofnanu_32,/wiki/Chinanu_Onuaku,Southwest Division,WESTERN CONFERENCE
Chris Paul,Houston Rockets,@CP3,/wiki/Chris_Paul,Southwest Division,WESTERN CONFERENCE
Brianté Weber,Houston Rockets,@Sir_deuce2,/wiki/Briant%C3%A9_Weber,Southwest Division,WESTERN CONFERENCE
Troy Williams,Houston Rockets,@troywilliams_,/wiki/Troy_Williams,Southwest Division,WESTERN CONFERENCE
Zhou Qi,Houston Rockets,@officialzhouqi,/wiki/Zhou_Qi,Southwest Division,WESTERN CONFERENCE
Dillon Brooks,Memphis Grizzlies,@dillonbrooks24,/wiki/Dillon_Brooks,Southwest Division,WESTERN CONFERENCE
Mario Chalmers,Memphis Grizzlies,@mchalmers15,/wiki/Mario_Chalmers,Southwest Division,WESTERN CONFERENCE
Mike Conley Jr.,Memphis Grizzlies,@mconley11,/wiki/Mike_Conley_Jr.,Southwest Division,WESTERN CONFERENCE
Deyonta Davis,Memphis Grizzlies,@Deyonta_Davis21,/wiki/Deyonta_Davis,Southwest Division,WESTERN CONFERENCE
Tyreke Evans,Memphis Grizzlies,@TyrekeEvans,/wiki/Tyreke_Evans,Southwest Division,WESTERN CONFERENCE
Marc Gasol,Memphis Grizzlies,@MarcGasol,/wiki/Marc_Gasol,Southwest Division,WESTERN CONFERENCE
JaMychal Green,Memphis Grizzlies,@Jmyke1,/wiki/JaMychal_Green,Southwest Division,WESTERN CONFERENCE
Vince Hunter,Memphis Grizzlies,@2easy32,/wiki/Vince_Hunter,Southwest Division,WESTERN CONFERENCE
Jarell Martin,Memphis Grizzlies,@MartinJarell,/wiki/Jarell_Martin,Southwest Division,WESTERN CONFERENCE
Ben McLemore,Memphis Grizzlies,@BenMcLemore,/wiki/Ben_McLemore,Southwest Division,WESTERN CONFERENCE
Chandler Parsons,Memphis Grizzlies,@ChandlerParsons,/wiki/Chandler_Parsons,Southwest Division,WESTERN CONFERENCE
Ivan Rabb,Memphis Grizzlies,@YoungIvee,/wiki/Ivan_Rabb,Southwest Division,WESTERN CONFERENCE
Wayne Selden Jr.,Memphis Grizzlies,@WayneSeldenJr,/wiki/Wayne_Selden_Jr.,Southwest Division,WESTERN CONFERENCE
Kobi Simmons,Memphis Grizzlies,@JordanKobi,/wiki/Kobi_Simmons,Southwest Division,WESTERN CONFERENCE
Brandan Wright,Memphis Grizzlies,@bwright34,/wiki/Brandan_Wright,Southwest Division,WESTERN CONFERENCE
Alexis Ajinca,New Orleans Pelicans,@AjincaAlexis42,/wiki/Alexis_Ajin%C3%A7a,Southwest Division,WESTERN CONFERENCE
Omer Asik,New Orleans Pelicans,@AsikOmer,/wiki/%C3%96mer_A%C5%9F%C4%B1k,Southwest Division,WESTERN CONFERENCE
DeMarcus Cousins,New Orleans Pelicans,@boogiecousins,/wiki/DeMarcus_Cousins,Southwest Division,WESTERN CONFERENCE
Dante Cunningham,New Orleans Pelicans,@DlamarC33,/wiki/Dante_Cunningham,Southwest Division,WESTERN CONFERENCE
Cheick Diallo,New Orleans Pelicans,@cheick_diallo13,/wiki/Cheick_Diallo,Southwest Division,WESTERN CONFERENCE
Jrue Holiday,New Orleans Pelicans,@Jrue_Holiday11,/wiki/Jrue_Holiday,Southwest Division,WESTERN CONFERENCE
Jalen Jones,New Orleans Pelicans,@JalenJones_21,/wiki/Jalen_Jones,Southwest Division,WESTERN CONFERENCE
Darius Miller,New Orleans Pelicans,@DmillerKY,/wiki/Darius_Miller,Southwest Division,WESTERN CONFERENCE
E'Twaun Moore,New Orleans Pelicans,@ETwaun55,/wiki/E%27Twaun_Moore,Southwest Division,WESTERN CONFERENCE
Jameer Nelson,New Orleans Pelicans,@jameernelson,/wiki/Jameer_Nelson,Southwest Division,WESTERN CONFERENCE
Rajon Rondo,New Orleans Pelicans,@rajonrondo,/wiki/Rajon_Rondo,Southwest Division,WESTERN CONFERENCE
LaMarcus Aldridge,San Antonio Spurs,@aldridge_12,/wiki/LaMarcus_Aldridge,Southwest Division,WESTERN CONFERENCE
Davis Bertans,San Antonio Spurs,@DBertans_42,/wiki/D%C4%81vis_Bert%C4%81ns,Southwest Division,WESTERN CONFERENCE
Matt Costello,San Antonio Spurs,@MattCostello10,/wiki/Matt_Costello,Southwest Division,WESTERN CONFERENCE
Bryn Forbes,San Antonio Spurs,@BrynjForbes,/wiki/Bryn_Forbes,Southwest Division,WESTERN CONFERENCE
Pau Gasol,San Antonio Spurs,@paugasol,/wiki/Pau_Gasol,Southwest Division,WESTERN CONFERENCE
Rudy Gay,San Antonio Spurs,@RudyGay,/wiki/Rudy_Gay,Southwest Division,WESTERN CONFERENCE
Manu Ginobili,San Antonio Spurs,@manuginobili,/wiki/Manu_Gin%C3%B3bili,Southwest Division,WESTERN CONFERENCE
Joffrey Lauvergne,San Antonio Spurs,@1JOLOLO,/wiki/Joffrey_Lauvergne,Southwest Division,WESTERN CONFERENCE
Kawhi Leonard,San Antonio Spurs,@kawhileonard,/wiki/Kawhi_Leonard,Southwest Division,WESTERN CONFERENCE
Patty Mills,San Antonio Spurs,@Patty_Mills,/wiki/Patty_Mills,Southwest Division,WESTERN CONFERENCE
Dejounte Murray,San Antonio Spurs,@DejounteMurray,/wiki/Dejounte_Murray,Southwest Division,WESTERN CONFERENCE
Tony Parker,San Antonio Spurs,@tonyparker,/wiki/Tony_Parker,Southwest Division,WESTERN CONFERENCE
Brandon Paul,San Antonio Spurs,@BP3,/wiki/Brandon_Paul,Southwest Division,WESTERN CONFERENCE
Will Barton,Denver Nuggets,@WillTheThrillB5,/wiki/Will_Barton,Northwest Division,WESTERN CONFERENCE
Malik Beasley,Denver Nuggets,@Mbeasy5,/wiki/Malik_Beasley,Northwest Division,WESTERN CONFERENCE
Wilson Chandler,Denver Nuggets,@wilsonchandler,/wiki/Wilson_Chandler,Northwest Division,WESTERN CONFERENCE
Torrey Craig,Denver Nuggets,@TCraig_23,/wiki/Torrey_Craig,Northwest Division,WESTERN CONFERENCE
Kenneth Faried,Denver Nuggets,@KennethFaried35,/wiki/Kenneth_Faried,Northwest Division,WESTERN CONFERENCE
Gary Harris,Denver Nuggets,@thats_G_,/wiki/Gary_Harris,Northwest Division,WESTERN CONFERENCE
Juan Hernangomez,Denver Nuggets,@juanchohg14,/wiki/Juan_Hernang%C3%B3mez,Northwest Division,WESTERN CONFERENCE
Richard Jefferson,Denver Nuggets,@jeffersonrich24,/wiki/Richard_Jefferson,Northwest Division,WESTERN CONFERENCE
Nikola Jokic,Denver Nuggets,@JokicNikola15,/wiki/Nikola_Joki%C4%87,Northwest Division,WESTERN CONFERENCE
Tyler Lydon,Denver Nuggets,@Tyler_Lydon14,/wiki/Tyler_Lydon,Northwest Division,WESTERN CONFERENCE
Trey Lyles,Denver Nuggets,@TreyLyles,/wiki/Trey_Lyles,Northwest Division,WESTERN CONFERENCE
Paul Millsap,Denver Nuggets,@Paulmillsap4,/wiki/Paul_Millsap,Northwest Division,WESTERN CONFERENCE
Monté Morris,Denver Nuggets,@montemorris11,/wiki/Mont%C3%A9_Morris,Northwest Division,WESTERN CONFERENCE
Emmanuel Mudiay,Denver Nuggets,@emmanuelmudiay,/wiki/Emmanuel_Mudiay,Northwest Division,WESTERN CONFERENCE
Jamal Murray,Denver Nuggets,@BeMore27,/wiki/Jamal_Murray,Northwest Division,WESTERN CONFERENCE
Mason Plumlee,Denver Nuggets,@masonplumlee,/wiki/Mason_Plumlee,Northwest Division,WESTERN CONFERENCE
Cole Aldrich,Minnesota Timberwolves,@colea45,/wiki/Cole_Aldrich,Northwest Division,WESTERN CONFERENCE
Nemanja Bjelica,Minnesota Timberwolves,@NemanjaBjelica,/wiki/Nemanja_Bjelica,Northwest Division,WESTERN CONFERENCE
Jamal Crawford,Minnesota Timberwolves,@JCrossover,/wiki/Jamal_Crawford,Northwest Division,WESTERN CONFERENCE
Gorgui Dieng,Minnesota Timberwolves,@GorguiDieng,/wiki/Gorgui_Dieng,Northwest Division,WESTERN CONFERENCE
Marcus Georges-Hunt,Minnesota Timberwolves,@GTMGH3,/wiki/Marcus_Georges-Hunt,Northwest Division,WESTERN CONFERENCE
Taj Gibson,Minnesota Timberwolves,@TajGibson22,/wiki/Taj_Gibson,Northwest Division,WESTERN CONFERENCE
Tyus Jones,Minnesota Timberwolves,@1Tyus,/wiki/Tyus_Jones,Northwest Division,WESTERN CONFERENCE
Shabazz Muhammad,Minnesota Timberwolves,@ShabazzMuhammad,/wiki/Shabazz_Muhammad,Northwest Division,WESTERN CONFERENCE
Justin Patton,Minnesota Timberwolves,@JustinPatton17,/wiki/Justin_Patton,Northwest Division,WESTERN CONFERENCE
Karl-Anthony Towns,Minnesota Timberwolves,@karltowns,/wiki/Karl-Anthony_Towns,Northwest Division,WESTERN CONFERENCE
Andrew Wiggins,Minnesota Timberwolves,@22wiggins,/wiki/Andrew_Wiggins,Northwest Division,WESTERN CONFERENCE
Alex Abrines,Oklahoma City Thunder,@alexabrines,/wiki/%C3%81lex_Abrines,Northwest Division,WESTERN CONFERENCE
Steven Adams,Oklahoma City Thunder,@RealStevenAdams,/wiki/Steven_Adams,Northwest Division,WESTERN CONFERENCE
Carmelo Anthony,Oklahoma City Thunder,@carmeloanthony,/wiki/Carmelo_Anthony,Northwest Division,WESTERN CONFERENCE
Nick Collison,Oklahoma City Thunder,@nickcollison4,/wiki/Nick_Collison,Northwest Division,WESTERN CONFERENCE
P. J. Dozier,Oklahoma City Thunder,@Dozier_Kid,/wiki/P._J._Dozier,Northwest Division,WESTERN CONFERENCE
Raymond Felton,Oklahoma City Thunder,@RFeltonGBMS,/wiki/Raymond_Felton,Northwest Division,WESTERN CONFERENCE
Terrance Ferguson,Oklahoma City Thunder,@the2kferguson,/wiki/Terrance_Ferguson,Northwest Division,WESTERN CONFERENCE
Paul George,Oklahoma City Thunder,@Yg_Trece,/wiki/Paul_George,Northwest Division,WESTERN CONFERENCE
Jerami Grant,Oklahoma City Thunder,@JeramiGrant,/wiki/Jerami_Grant,Northwest Division,WESTERN CONFERENCE
Josh Huestis,Oklahoma City Thunder,@jhuestis,/wiki/Josh_Huestis,Northwest Division,WESTERN CONFERENCE
Dakari Johnson,Oklahoma City Thunder,@DakariJohnson,/wiki/Dakari_Johnson,Northwest Division,WESTERN CONFERENCE
André Roberson,Oklahoma City Thunder,@FlyDre21,/wiki/Andr%C3%A9_Roberson,Northwest Division,WESTERN CONFERENCE
Kyle Singler,Oklahoma City Thunder,@KyleSingler,/wiki/Kyle_Singler,Northwest Division,WESTERN CONFERENCE
Russell Westbrook,Oklahoma City Thunder,@russwest44,/wiki/Russell_Westbrook,Northwest Division,WESTERN CONFERENCE
Al-Farouq Aminu,Portland Trail Blazers,@farouq1,/wiki/Al-Farouq_Aminu,Northwest Division,WESTERN CONFERENCE
Wade Baldwin IV,Portland Trail Blazers,@The_Fourth_Wade,/wiki/Wade_Baldwin_IV,Northwest Division,WESTERN CONFERENCE
Zach Collins,Portland Trail Blazers,@zcollins_33,/wiki/Zach_Collins,Northwest Division,WESTERN CONFERENCE
Pat Connaughton,Portland Trail Blazers,@PlanetPat5,/wiki/Pat_Connaughton,Northwest Division,WESTERN CONFERENCE
Maurice Harkless,Portland Trail Blazers,@moe_harkless,/wiki/Maurice_Harkless,Northwest Division,WESTERN CONFERENCE
Jake Layman,Portland Trail Blazers,@JLayman10,/wiki/Jake_Layman,Northwest Division,WESTERN CONFERENCE
Meyers Leonard,Portland Trail Blazers,@MeyersLeonard11,/wiki/Meyers_Leonard,Northwest Division,WESTERN CONFERENCE
Damian Lillard,Portland Trail Blazers,@Dame_Lillard,/wiki/Damian_Lillard,Northwest Division,WESTERN CONFERENCE
C. J. McCollum,Portland Trail Blazers,@CJMcCollum,/wiki/C._J._McCollum,Northwest Division,WESTERN CONFERENCE
Shabazz Napier,Portland Trail Blazers,@ShabazzNapier,/wiki/Shabazz_Napier,Northwest Division,WESTERN CONFERENCE
Jusuf Nurkic,Portland Trail Blazers,@bosnianbeast27,/wiki/Jusuf_Nurki%C4%87,Northwest Division,WESTERN CONFERENCE
Caleb Swanigan,Portland Trail Blazers,@calebswanigan50,/wiki/Caleb_Swanigan,Northwest Division,WESTERN CONFERENCE
Evan Turner,Portland Trail Blazers,@thekidet,/wiki/Evan_Turner,Northwest Division,WESTERN CONFERENCE
Noah Vonleh,Portland Trail Blazers,@NoahVonleh,/wiki/Noah_Vonleh,Northwest Division,WESTERN CONFERENCE
C. J. Wilcox,Portland Trail Blazers,@UCjwilcox23W,/wiki/C._J._Wilcox,Northwest Division,WESTERN CONFERENCE
Alec Burks,Utah Jazz,@AlecBurks10,/wiki/Alec_Burks,Northwest Division,WESTERN CONFERENCE
Dante Exum,Utah Jazz,@daanteee,/wiki/Dante_Exum,Northwest Division,WESTERN CONFERENCE
Derrick Favors,Utah Jazz,@DFavors14,/wiki/Derrick_Favors,Northwest Division,WESTERN CONFERENCE
Rudy Gobert,Utah Jazz,@rudygobert27,/wiki/Rudy_Gobert,Northwest Division,WESTERN CONFERENCE
Rodney Hood,Utah Jazz,@rodneyhood,/wiki/Rodney_Hood,Northwest Division,WESTERN CONFERENCE
Joe Ingles,Utah Jazz,@Joeingles7,/wiki/Joe_Ingles,Northwest Division,WESTERN CONFERENCE
Jonas Jerebko,Utah Jazz,@JonasJerebko,/wiki/Jonas_Jerebko,Northwest Division,WESTERN CONFERENCE
Raulzinho Neto,Utah Jazz,@RaulTogni,/wiki/Raulzinho_Neto,Northwest Division,WESTERN CONFERENCE
Royce O'Neale,Utah Jazz,@BucketsONeale00,/wiki/Royce_O%27Neale,Northwest Division,WESTERN CONFERENCE
Ricky Rubio,Utah Jazz,@rickyrubio9,/wiki/Ricky_Rubio,Northwest Division,WESTERN CONFERENCE
Thabo Sefolosha,Utah Jazz,@ThaboSefolosha,/wiki/Thabo_Sefolosha,Northwest Division,WESTERN CONFERENCE
Ekpe Udoh,Utah Jazz,@EkpeUdoh,/wiki/Ekpe_Udoh,Northwest Division,WESTERN CONFERENCE
Ekpe Udoh,Utah Jazz,@EkpeUdoh,/wiki/Ekpe_Udoh,Northwest Division,WESTERN CONFERENCE
Nate Wolters,Utah Jazz,@natewolters,/wiki/Nate_Wolters,Northwest Division,WESTERN CONFERENCE
Jordan Bell,Golden State Warriors,@1jordanbell,/wiki/Jordan_Bell,Pacific Division,WESTERN CONFERENCE
Omri Casspi,Golden State Warriors,@Casspi18,/wiki/Omri_Casspi,Pacific Division,WESTERN CONFERENCE
Quinn Cook,Golden State Warriors,@QCook323,/wiki/Quinn_Cook,Pacific Division,WESTERN CONFERENCE
Stephen Curry,Golden State Warriors,@stephencurry30,/wiki/Stephen_Curry,Pacific Division,WESTERN CONFERENCE
Kevin Durant,Golden State Warriors,@KDTrey5,/wiki/Kevin_Durant,Pacific Division,WESTERN CONFERENCE
Draymond Green,Golden State Warriors,@Money23Green,/wiki/Draymond_Green,Pacific Division,WESTERN CONFERENCE
Andre Iguodala,Golden State Warriors,@andre,/wiki/Andre_Iguodala,Pacific Division,WESTERN CONFERENCE
Shaun Livingston,Golden State Warriors,@ShaunLivingston,/wiki/Shaun_Livingston,Pacific Division,WESTERN CONFERENCE
Kevon Looney,Golden State Warriors,@Loon_Rebel5,/wiki/Kevon_Looney,Pacific Division,WESTERN CONFERENCE
Patrick McCaw,Golden State Warriors,@PMcCaw0,/wiki/Patrick_McCaw,Pacific Division,WESTERN CONFERENCE
JaVale McGee,Golden State Warriors,@JaValeMcGee,/wiki/JaVale_McGee,Pacific Division,WESTERN CONFERENCE
Zaza Pachulia,Golden State Warriors,@zaza27,/wiki/Zaza_Pachulia,Pacific Division,WESTERN CONFERENCE
Klay Thompson,Golden State Warriors,@KlayThompson,/wiki/Klay_Thompson,Pacific Division,WESTERN CONFERENCE
Patrick Beverley,Los Angeles Clippers,@patbev21,/wiki/Patrick_Beverley,Pacific Division,WESTERN CONFERENCE
Sam Dekker,Los Angeles Clippers,@dekker,/wiki/Sam_Dekker,Pacific Division,WESTERN CONFERENCE
Jawun Evans,Los Angeles Clippers,@j3vans1_,/wiki/Jawun_Evans,Pacific Division,WESTERN CONFERENCE
Danilo Gallinari,Los Angeles Clippers,@gallinari8888,/wiki/Danilo_Gallinari,Pacific Division,WESTERN CONFERENCE
Blake Griffin,Los Angeles Clippers,@blakegriffin32,/wiki/Blake_Griffin,Pacific Division,WESTERN CONFERENCE
Montrezl Harrell,Los Angeles Clippers,@MONSTATREZZ,/wiki/Montrezl_Harrell,Pacific Division,WESTERN CONFERENCE
Brice Johnson,Los Angeles Clippers,@bjohnson_23,/wiki/Brice_Johnson,Pacific Division,WESTERN CONFERENCE
DeAndre Jordan,Los Angeles Clippers,@DeAndre,/wiki/DeAndre_Jordan,Pacific Division,WESTERN CONFERENCE
Austin Rivers,Los Angeles Clippers,@AustinRivers25,/wiki/Austin_Rivers,Pacific Division,WESTERN CONFERENCE
Milos Teodosic,Los Angeles Clippers,@milosteodosic4,/wiki/Milo%C5%A1_Teodosi%C4%87,Pacific Division,WESTERN CONFERENCE
Sindarius Thornwell,Los Angeles Clippers,@Sin_City_803,/wiki/Sindarius_Thornwell,Pacific Division,WESTERN CONFERENCE
C. J. Williams,Los Angeles Clippers,@C_Will21,/wiki/C._J._Williams,Pacific Division,WESTERN CONFERENCE
Lou Williams,Los Angeles Clippers,@TeamLou23,/wiki/Lou_Williams,Pacific Division,WESTERN CONFERENCE
Lonzo Ball,Los Angeles Lakers,@ZO2_,/wiki/Lonzo_Ball,Pacific Division,WESTERN CONFERENCE
Vander Blue,Los Angeles Lakers,@veezy_SQ,/wiki/Vander_Blue,Pacific Division,WESTERN CONFERENCE
Andrew Bogut,Los Angeles Lakers,@andrewbogut,/wiki/Andrew_Bogut,Pacific Division,WESTERN CONFERENCE
Corey Brewer,Los Angeles Lakers,@TheCoreyBrewer,/wiki/Corey_Brewer,Pacific Division,WESTERN CONFERENCE
Kentavious Caldwell-Pope,Los Angeles Lakers,@CaldwellPope,/wiki/Kentavious_Caldwell-Pope,Pacific Division,WESTERN CONFERENCE
Alex Caruso,Los Angeles Lakers,@ACFresh21,/wiki/Alex_Caruso,Pacific Division,WESTERN CONFERENCE
Jordan Clarkson,Los Angeles Lakers,@JordanClarksons,/wiki/Jordan_Clarkson,Pacific Division,WESTERN CONFERENCE
Luol Deng,Los Angeles Lakers,@LuolDeng9,/wiki/Luol_Deng,Pacific Division,WESTERN CONFERENCE
Brandon Ingram,Los Angeles Lakers,@b_ingram13,/wiki/Brandon_Ingram,Pacific Division,WESTERN CONFERENCE
Kyle Kuzma,Los Angeles Lakers,@kylekuzma,/wiki/Kyle_Kuzma,Pacific Division,WESTERN CONFERENCE
Brook Lopez,Los Angeles Lakers,@RealBrookLopez,/wiki/Brook_Lopez,Pacific Division,WESTERN CONFERENCE
Larry Nance Jr.,Los Angeles Lakers,@larrydn22,/wiki/Larry_Nance_Jr.,Pacific Division,WESTERN CONFERENCE
Julius Randle,Los Angeles Lakers,@J30_RANDLE,/wiki/Julius_Randle,Pacific Division,WESTERN CONFERENCE
Ivica Zubac,Los Angeles Lakers,@Lakers,/wiki/Ivica_Zubac,Pacific Division,WESTERN CONFERENCE
Dragan Bender,Phoenix Suns,@DBender03,/wiki/Dragan_Bender,Pacific Division,WESTERN CONFERENCE
Devin Booker,Phoenix Suns,@DevinBook,/wiki/Devin_Booker,Pacific Division,WESTERN CONFERENCE
Isaiah Canaan,Phoenix Suns,@SiP03,/wiki/Isaiah_Canaan,Pacific Division,WESTERN CONFERENCE
Tyson Chandler,Phoenix Suns,@tysonchandler,/wiki/Tyson_Chandler,Pacific Division,WESTERN CONFERENCE
Marquese Chriss,Phoenix Suns,@quese,/wiki/Marquese_Chriss,Pacific Division,WESTERN CONFERENCE
Troy Daniels,Phoenix Suns,@troydaniels,/wiki/Troy_Daniels,Pacific Division,WESTERN CONFERENCE
Jared Dudley,Phoenix Suns,@JaredDudley619,/wiki/Jared_Dudley,Pacific Division,WESTERN CONFERENCE
Danuel House,Phoenix Suns,@DanuelHouseJr,/wiki/Danuel_House,Pacific Division,WESTERN CONFERENCE
Alex Len,Phoenix Suns,@alexlen,/wiki/Alex_Len,Pacific Division,WESTERN CONFERENCE
Greg Monroe,Phoenix Suns,@M10OSE,/wiki/Greg_Monroe,Pacific Division,WESTERN CONFERENCE
Alec Peters,Phoenix Suns,@petersalec,/wiki/Alec_Peters,Pacific Division,WESTERN CONFERENCE
Davon Reed,Phoenix Suns,@ClutchREED_5,/wiki/Davon_Reed,Pacific Division,WESTERN CONFERENCE
Tyler Ulis,Phoenix Suns,@tulis3,/wiki/Tyler_Ulis,Pacific Division,WESTERN CONFERENCE
T. J. Warren,Phoenix Suns,@savage_teejayy,/wiki/T._J._Warren,Pacific Division,WESTERN CONFERENCE
Vince Carter,Sacramento Kings,@mrvincecarter15,/wiki/Vince_Carter,Pacific Division,WESTERN CONFERENCE
Willie Cauley-Stein,Sacramento Kings,@thewilliecs15,/wiki/Willie_Cauley-Stein,Pacific Division,WESTERN CONFERENCE
Jack Cooley,Sacramento Kings,@JackCooligan45,/wiki/Jack_Cooley,Pacific Division,WESTERN CONFERENCE
De'Aaron Fox,Sacramento Kings,@swipathefox,/wiki/De%27Aaron_Fox,Pacific Division,WESTERN CONFERENCE
Buddy Hield,Sacramento Kings,@buddyhield,/wiki/Buddy_Hield,Pacific Division,WESTERN CONFERENCE
Kosta Koufos,Sacramento Kings,@kostakoufos,/wiki/Kosta_Koufos,Pacific Division,WESTERN CONFERENCE
Skal Labissière,Sacramento Kings,@OneBigHaitian,/wiki/Skal_Labissi%C3%A8re,Pacific Division,WESTERN CONFERENCE
Frank Mason III,Sacramento Kings,@FrankMason0,/wiki/Frank_Mason_III,Pacific Division,WESTERN CONFERENCE
Georgios Papagiannis,Sacramento Kings,@G_P_06,/wiki/Georgios_Papagiannis,Pacific Division,WESTERN CONFERENCE
Zach Randolph,Sacramento Kings,@MacBo50,/wiki/Zach_Randolph,Pacific Division,WESTERN CONFERENCE
Malachi Richardson,Sacramento Kings,@Maliirich_22,/wiki/Malachi_Richardson,Pacific Division,WESTERN CONFERENCE
JaKarr Sampson,Sacramento Kings,@KarrSampson14,/wiki/JaKarr_Sampson,Pacific Division,WESTERN CONFERENCE
Garrett Temple,Sacramento Kings,@GTemp14,/wiki/Garrett_Temple,Pacific Division,WESTERN CONFERENCE
