Name,Team,Twitter_name,Wiki,Division,Conference
Nikola Mirotic,Chicago Bulls,@threekola,/wiki/Nikola_Miroti%C4%87,Central Division,EASTERN CONFERENCE
David Nwaba,Chicago Bulls,@dnwaba0,/wiki/David_Nwaba,Central Division,EASTERN CONFERENCE
Cameron Payne,Chicago Bulls,@ThaRealKillaCam,/wiki/Cameron_Payne,Central Division,EASTERN CONFERENCE
Quincy Pondexter,Chicago Bulls,@quincypondexter,/wiki/Quincy_Pondexter,Central Division,EASTERN CONFERENCE
Bobby Portis,Chicago Bulls,@BPortistime,/wiki/Bobby_Portis,Central Division,EASTERN CONFERENCE
Denzel Valentine,Chicago Bulls,@denzelvalentine,/wiki/Denzel_Valentine,Central Division,EASTERN CONFERENCE
Jae Crowder,Cleveland Cavaliers,@CJC9BOSS,/wiki/Jae_Crowder,Central Division,EASTERN CONFERENCE
Channing Frye,Cleveland Cavaliers,@Channing_Frye,/wiki/Channing_Frye,Central Division,EASTERN CONFERENCE
LeBron James,Cleveland Cavaliers,@KingJames,/wiki/LeBron_James,Central Division,EASTERN CONFERENCE
Kyle Korver,Cleveland Cavaliers,@KyleKorver,/wiki/Kyle_Korver,Central Division,EASTERN CONFERENCE
Kevin Love,Cleveland Cavaliers,@kevinlove,/wiki/Kevin_Love,Central Division,EASTERN CONFERENCE
Cedi Osman,Cleveland Cavaliers,@cediosman,/wiki/Cedi_Osman,Central Division,EASTERN CONFERENCE
London Perrantes,Cleveland Cavaliers,@London_Tyus,/wiki/London_Perrantes,Central Division,EASTERN CONFERENCE
Derrick Rose,Cleveland Cavaliers,@drose,/wiki/Derrick_Rose,Central Division,EASTERN CONFERENCE
Iman Shumpert,Cleveland Cavaliers,@imanshumpert,/wiki/Iman_Shumpert,Central Division,EASTERN CONFERENCE
J. R. Smith,Cleveland Cavaliers,@therealjrsmith,/wiki/J._R._Smith,Central Division,EASTERN CONFERENCE
Tristan Thompson,Cleveland Cavaliers,@RealTristan13,/wiki/Tristan_Thompson,Central Division,EASTERN CONFERENCE
Dwyane Wade,Cleveland Cavaliers,@DwyaneWade,/wiki/Dwyane_Wade,Central Division,EASTERN CONFERENCE
Ante Zizic,Cleveland Cavaliers,@ante_zizic,/wiki/Ante_%C5%BDi%C5%BEi%C4%87,Central Division,EASTERN CONFERENCE
Avery Bradley,Detroit Pistons,@Avery0Bradley,/wiki/Avery_Bradley,Central Division,EASTERN CONFERENCE
Reggie Bullock,Detroit Pistons,@ReggieBullock35,/wiki/Reggie_Bullock,Central Division,EASTERN CONFERENCE
Dwight Buycks,Detroit Pistons,@BuycksWorld13,/wiki/Dwight_Buycks,Central Division,EASTERN CONFERENCE
Andre Drummond,Detroit Pistons,@AndreDrummond,/wiki/Andre_Drummond,Central Division,EASTERN CONFERENCE
Henry Ellenson,Detroit Pistons,@HenryEllenson13,/wiki/Henry_Ellenson,Central Division,EASTERN CONFERENCE
